Task Name	Owner	Work
Avmin - Track User Events in Avmin	Development	2 - 5 hrs
Avmin - Present Translator with deadline once assigned to a language	Development	4 - 6 hrs
Avmin - Email Translator 2 days prior to deadline if translation is not complete.	Development	4 - 6 hrs
Avmin - Email Project manager and Translator 1 day prior to deadline if translation is not complete	Development	4 - 6 hrs
Avmin - Email update on translation complete (PM and Translator)	Development	4 - 6 hrs
Avmin - Email Translator upon being assigned to a language	Development	4 - 6 hrs
Login	Development	8 - 12 hrs
"  on login click, open modal window and allow user to login"	Development	
  store session	Development	
    language preference	Development	
    user profile data	Development	
    locale array unless cookie is available	Development	
  bring back user display name	Development	
Register	Development	8 - 12 hrs
"  on register click, open profile registration modal"	Development	
  if cookie exists with user preferences take to login	Development	
  on register if email exists	Development	
"    close modal and throw exception , notifying user that the email already exists in our database."	Development	
    present with forgot password.	Development	
Sitemap	Development	2 - 5 hrs
  add checkbox in admin for display in sitemap.	Development	
Social Links	Development	8 - 12 hrs
  Create section in admin to allow image and link for this.	Development	
  Add sort field in database.	Development	
  Crop the image to a certain size	Development	
    Use imagemagick | GD for final render	Development	
    Upload to s3	Development	
    Trigger content distribution to akamai	Development	
    Validate image upload	Development	
Global Alliances Partner Logos	Development	8 - 12 hrs
  Create section in admin to allow image and link for this.	Development	
  Create a sort order in the database	Development	
    Crop the image to a certain size	Development	
    Use imagemagick | GD for final render	Development	
    Upload to s3	Development	
    Trigger content distribution to akamai	Development	
    Validate image upload	Development	
Share This	Development	2 - 4 hrs
Judges	Development	16 - 40 hrs
  Avmin - create a judge	Development	
  Allow for uploading of photo	Development	
    Use imagemagick | GD for final render	Development	
    Upload to s3	Development	
    Trigger content distribution to akamai	Development	
    Validate image upload	Development	
  Allow for creation of Judge description	Development	
    Translate Judge description	Development	
  Create Judge module for include on other pages	Development	
  Create Judge Pages	Development	
  Create Judges Listing Page	Development	
Tips Area (PDF)	Development	2 - 4 hrs
  Get pdf from creative	Development	
  Insert into page	Development	
Home	Development	8 - 24 hrs
  Video Player Module	Development	
About	Development	8 - 24 hrs
  Faqs	Development	
  Prizes	Development	
  Talent Search Rules	Development	
  Avon Links	Development	
Login	Development	8 - 12 hrs
Register	Development	16 - 40 hrs
  Step 1 Refer to wireframe	Development	
  Step 2 Refer to wireframe	Development	
  Step 3 Refer to wireframe	Development	
    Singing	Development	
    Songwriter	Development	
    Voter Only	Development	
  Step4 Refer to wireframe	Development	
    Account Creation Confirmation Email	Development	16 - 40 hrs
Profile Page - Home	Development	
  Profile Page - Account Info	Development	
    Javascript Edit info in place	Development	
      onblur save if changed	Development	
  Profile Page - Profile	Development	
  Profile Page - Upload File	Development	
    JQuery Scaling tool	Development	
    On photo upload 	Development	
      save temporary on server before cropping image.	Development	
      enable jCrop for image resizing before sending to s3	Development	
      use imagemagick | GD for final render	Development	
      upload to s3	Development	
      trigger content distribution to akamai	Development	
      validate image upload	Development	
  Profile Page - Share	Development	
    Share this api	Development	
  Profile Page - Unsubscribe	Development	
    Opt out of emails	Development	
    Cancel Account.	Development	
Judges Page - Listing	Development	8 - 12 hrs
Judges Page - Individual Judge Page	Development	8 - 12 hrs
Logout	Development	2 - 4 hrs
Email Confirmation Page	Development	2 - 4 hrs
Email Thanks Page	Development	2 - 4 hrs
Error	Development	4 - 6 hrs
  404|500|403	Development
